date,model,mode,latency_ms,gross_pnl,net_pnl,realized_pnl,terminal_unrealized_pnl,recorded_fees
2024-07-01,lightgbm_extended,market,0,5720.895120207824,5720.895120207824,5716.878252395109,4.016867813528558,0.0
2024-07-01,lightgbm_extended,market,100,5264.311049242642,5264.311049242642,5265.172457282935,-0.861408039753997,0.0
2024-07-01,lightgbm_qi_ofi,market,0,5550.258410920898,5550.258410920898,5544.346333716735,5.912077204784866,0.0
2024-07-01,lightgbm_qi_ofi,market,100,5323.436535794204,5323.436535794204,5324.145332422236,-0.7087966283417695,0.0
2024-07-01,qi_direct_baseline,market,0,5374.277072860903,5374.277072860903,5375.860285026886,-1.5832121654803022,0.0
2024-07-01,qi_direct_baseline,market,100,5177.823381225753,5177.823381225753,5176.968076487272,0.8553047394386138,0.0
2024-07-01,lightgbm_extended,passive,0,-3630.264330080594,-3630.264330080594,-863.697169875399,-2766.5671602123907,0.0
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,-2571.828693028423,-639.9838329147991,-1931.8448601150326,0.0
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,-3080.5074360552244,-805.4692192090347,-2275.038216851113,0.0
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,-2178.263225474686,-880.0457814257971,-1298.2174440461508,0.0
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,-1035.9125899009377,-329.60068186357563,-706.3119080364783,0.0
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,151.5554936050612,1075.537259030324,-923.9817654234315,0.0
